ID,title,company,location,link,source,date_posted,work_type,employment_type
140,Data Analyst,Eviden,United Kingdom,https://uk.linkedin.com/jobs/view/data-analyst-at-eviden-4210557270,LinkedIn,15-04-2025,N/A,N/A
141,Analista de Dados JÃºnior,Cogna EducaÃ§Ã£o,Brazil,https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-at-cogna-educa%C3%A7%C3%A3o-4207658011,LinkedIn,15-04-2025,N/A,N/A
142,Data Analyst,AARATECH,"California, United States",https://www.linkedin.com/jobs/view/data-analyst-at-aaratech-4209791302,LinkedIn,16-04-2025,N/A,N/A
143,Data Analyst,Bright Purple,"Dundee, Scotland, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-bright-purple-4208151226,LinkedIn,16-04-2025,N/A,N/A
144,Business Data Analyst,Toyota Financial Services (UK) PLC,"Epsom, England, United Kingdom",https://uk.linkedin.com/jobs/view/business-data-analyst-at-toyota-financial-services-uk-plc-4210606571,LinkedIn,15-04-2025,N/A,N/A
145,Data Analyst,SearchabilityÂ®,"Nottingham, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-searchability%C2%AE-4211285954,LinkedIn,16-04-2025,N/A,N/A
146,Sr Data Analyst,The Walt Disney Company,"New York, NY",https://www.linkedin.com/jobs/view/sr-data-analyst-at-the-walt-disney-company-4210678445,LinkedIn,15-04-2025,N/A,N/A
147,Data Analyst (Data Visualization),Haybury,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-analyst-data-visualization-at-haybury-4208968856,LinkedIn,15-04-2025,N/A,N/A
148,Data Analyst,Etiqa Insurance Singapore,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-etiqa-insurance-singapore-4210419916,LinkedIn,17-04-2025,N/A,N/A
149,Data Analyst,Redwood Materials,"Nevada, United States",https://www.linkedin.com/jobs/view/data-analyst-at-redwood-materials-4209336627,LinkedIn,15-04-2025,N/A,N/A
150,Analista de Business Intelligence JÃºnior,iFood,"Osasco, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-business-intelligence-j%C3%BAnior-at-ifood-4210939595,LinkedIn,15-04-2025,N/A,N/A
151,Data Associate - Gurgaon,Circles,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-associate-gurgaon-at-circles-4208162528,LinkedIn,16-04-2025,N/A,N/A
152,Healthcare Data Analyst,Sogeti,Greater Minneapolis-St. Paul Area,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-sogeti-4209319190,LinkedIn,15-04-2025,N/A,N/A
214,Data Analyst,Artefact,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-artefact-3931311684,LinkedIn,17-04-2025,N/A,N/A
235,Data Analyst,TEKsystems,"Santa Clara, CA",https://www.linkedin.com/jobs/view/data-analyst-at-teksystems-4210415232,LinkedIn,17-04-2025,N/A,N/A
241,Data Analyst - Local to Pittsburgh or Cleveland,CGI,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/data-analyst-local-to-pittsburgh-or-cleveland-at-cgi-4207001467,LinkedIn,11-04-2025,N/A,N/A
242,Analista de AnÃ¡lise de Dados Junior,C6 Bank,"SÃ£o Paulo, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-an%C3%A1lise-de-dados-junior-at-c6-bank-4207658458,LinkedIn,15-04-2025,N/A,N/A
256,Data Analyst,Stok,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-analyst-at-stok-4210061332,LinkedIn,15-04-2025,N/A,N/A
267,Senior Data Analyst,Asana,"Warsaw, Mazowieckie, Poland",https://pl.linkedin.com/jobs/view/senior-data-analyst-at-asana-4206944457,LinkedIn,15-04-2025,N/A,N/A
282,Data analyst,Aer Lingus,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/data-analyst-at-aer-lingus-4208661726,LinkedIn,17-04-2025,N/A,N/A
284,Data Intern,Doing Things,"New York, NY",https://www.linkedin.com/jobs/view/data-intern-at-doing-things-4208835512,LinkedIn,14-04-2025,N/A,N/A
